# x,Y(xd),D(xd -> xd),C(xdxdx_ddx),C(xdxdx_uux),C(xdxdx_ssx),C(xdxdx_ccx),C(xdxdx_bbx),C(xdxdx_ttx)
1.9382e-01,7.8030e-03,0.0000e+00,2.1349e-31,2.1349e-31,2.1349e-31,2.1349e-31,2.1349e-31,2.1349e-31
1.9651e-01,7.8030e-03,0.0000e+00,1.7311e-31,1.7311e-31,1.7311e-31,1.7311e-31,1.7311e-31,1.7311e-31
1.9925e-01,7.8030e-03,0.0000e+00,2.1933e-31,2.1933e-31,2.1933e-31,2.1933e-31,2.1933e-31,2.1933e-31
2.0203e-01,7.8030e-03,0.0000e+00,2.2231e-31,2.2231e-31,2.2231e-31,2.2231e-31,2.2231e-31,2.2231e-31
2.0484e-01,7.8030e-03,0.0000e+00,9.0130e-32,9.0130e-32,9.0130e-32,9.0130e-32,9.0130e-32,9.0130e-32
2.0769e-01,7.8030e-03,0.0000e+00,2.2839e-31,2.2839e-31,2.2839e-31,2.2839e-31,2.2839e-31,2.2839e-31
2.1058e-01,7.8030e-03,0.0000e+00,9.2597e-32,9.2597e-32,9.2597e-32,9.2597e-32,9.2597e-32,9.2597e-32
2.1352e-01,7.8030e-03,0.0000e+00,1.4078e-31,1.4078e-31,1.4078e-31,1.4078e-31,1.4078e-31,1.4078e-31
2.1649e-01,7.8030e-03,0.0000e+00,1.9026e-31,1.9026e-31,1.9026e-31,1.9026e-31,1.9026e-31,1.9026e-31
2.1950e-01,7.8030e-03,0.0000e+00,3.8571e-31,3.8571e-31,3.8571e-31,3.8571e-31,3.8571e-31,3.8571e-31
2.2256e-01,7.8030e-03,0.0000e+00,4.3983e-31,4.3983e-31,4.3983e-31,4.3983e-31,4.3983e-31,4.3983e-31
2.2566e-01,7.8030e-03,0.0000e+00,3.4674e-31,3.4674e-31,3.4674e-31,3.4674e-31,3.4674e-31,3.4674e-31
2.2880e-01,7.8030e-03,0.0000e+00,2.5105e-31,2.5105e-31,2.5105e-31,2.5105e-31,2.5105e-31,2.5105e-31
2.3199e-01,7.8030e-03,0.0000e+00,2.5447e-31,2.5447e-31,2.5447e-31,2.5447e-31,2.5447e-31,2.5447e-31
2.3522e-01,7.8030e-03,0.0000e+00,2.5793e-31,2.5793e-31,2.5793e-31,2.5793e-31,2.5793e-31,2.5793e-31
2.3849e-01,7.8030e-03,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
